ID,TGS 826,TGS 822,TGS 2600,TGS 2602,Temperature,Humidity,Class
1506,0.07,2.28,0.23,0.27,38,41,Acetone 5 ppm
1507,0.07,2.29,0.23,0.27,38,41,Acetone 5 ppm
1508,0.07,2.26,0.23,0.27,38,41,Acetone 5 ppm
1509,0.15,2.27,0.23,0.27,38,41,Acetone 5 ppm
1510,0.78,2.4,0.23,0.27,38,41,Acetone 5 ppm
1511,1.89,2.57,0.23,0.27,38,41,Acetone 5 ppm
1512,2.2,2.65,0.29,0.27,38,41,Acetone 5 ppm
1513,2.46,2.63,0.59,0.27,38,41,Acetone 5 ppm
1514,2.27,2.54,0.75,0.27,38,41,Acetone 5 ppm
1515,2.4,2.4,0.9,0.27,38,41,Acetone 5 ppm
1516,2.75,2.29,1.15,0.27,38,41,Acetone 5 ppm
1517,2.91,2.2,1.34,0.27,38,41,Acetone 5 ppm
1518,2.79,2.05,1.49,0.27,38,41,Acetone 5 ppm
1519,2.74,2.03,1.6,0.27,38,41,Acetone 5 ppm
1520,2.93,1.99,1.65,0.27,38,41,Acetone 5 ppm
1521,3.09,1.93,1.75,0.27,38,41,Acetone 5 ppm
1522,3.23,1.87,1.95,0.27,38,41,Acetone 5 ppm
1523,3.26,1.84,2.06,0.27,38,41,Acetone 5 ppm
1524,3.29,1.76,2.11,0.27,38,41,Acetone 5 ppm
1525,3.38,1.71,2.1,0.27,38,41,Acetone 5 ppm
1526,3.46,1.68,2.07,0.27,38,41,Acetone 5 ppm
1527,3.55,1.7,2,0.27,38,41,Acetone 5 ppm
1528,3.56,1.74,1.91,0.27,38,41,Acetone 5 ppm
1529,3.46,1.73,1.83,0.27,38,41,Acetone 5 ppm
1530,3.33,1.64,1.76,0.27,38,41,Acetone 5 ppm
1531,2.93,1.52,1.69,0.27,38,41,Acetone 5 ppm
1532,3.01,1.43,1.62,0.27,38,41,Acetone 5 ppm
1533,3.11,1.37,1.54,0.27,38,41,Acetone 5 ppm
1534,3.21,1.32,1.47,0.27,38,41,Acetone 5 ppm
1535,2.98,1.34,1.39,0.27,38,41,Acetone 5 ppm
1536,2.62,1.33,1.33,0.27,38,41,Acetone 5 ppm
1537,2.38,1.31,1.29,0.27,38,41,Acetone 5 ppm
1538,2.3,1.3,1.24,0.27,38,41,Acetone 5 ppm
1539,2.39,1.31,1.2,0.27,38,41,Acetone 5 ppm
1540,2.58,1.27,1.16,0.27,38,41,Acetone 5 ppm
1541,2.72,1.19,1.12,0.27,38,41,Acetone 5 ppm
1542,2.78,1.11,1.08,0.27,38,41,Acetone 5 ppm
1543,2.73,1.09,1.05,0.27,38,41,Acetone 5 ppm
1544,2.58,1.07,1.02,0.27,38,41,Acetone 5 ppm
1545,2.48,1.04,0.98,0.27,38,41,Acetone 5 ppm
1546,2.47,1,0.95,0.27,38,41,Acetone 5 ppm
1547,2.53,0.98,0.91,0.27,38,41,Acetone 5 ppm
1548,2.55,0.96,0.88,0.27,38,41,Acetone 5 ppm
1549,2.59,0.98,0.85,0.27,38,41,Acetone 5 ppm
1550,2.63,0.98,0.82,0.27,38,41,Acetone 5 ppm
1551,2.65,0.94,0.79,0.27,38,41,Acetone 5 ppm
1552,2.59,0.86,0.77,0.27,38,41,Acetone 5 ppm
1553,2.49,0.8,0.75,0.27,38,41,Acetone 5 ppm
1554,2.43,0.75,0.73,0.27,38,41,Acetone 5 ppm
1555,2.26,0.71,0.71,0.27,38,41,Acetone 5 ppm
1556,2.04,0.69,0.69,0.27,38,41,Acetone 5 ppm
1557,1.94,0.69,0.67,0.27,38,41,Acetone 5 ppm
1558,1.96,0.67,0.67,0.27,38,41,Acetone 5 ppm
1559,1.86,0.65,0.66,0.27,38,41,Acetone 5 ppm
1560,1.85,0.64,0.65,0.27,38,41,Acetone 5 ppm
1561,1.91,0.64,0.64,0.27,38,41,Acetone 5 ppm
1562,1.91,0.62,0.63,0.27,38,41,Acetone 5 ppm
1563,1.93,0.6,0.62,0.27,38,41,Acetone 5 ppm
1564,1.89,0.58,0.6,0.27,38,41,Acetone 5 ppm
1565,1.85,0.56,0.59,0.27,38,41,Acetone 5 ppm
1566,1.89,0.55,0.58,0.27,38,41,Acetone 5 ppm
1567,1.9,0.53,0.57,0.27,38,41,Acetone 5 ppm
1568,1.86,0.5,0.56,0.27,38,41,Acetone 5 ppm
1569,2.01,0.47,0.54,0.27,38,41,Acetone 5 ppm
1570,2.11,0.46,0.53,0.27,38,41,Acetone 5 ppm
1571,2.09,0.46,0.52,0.27,38,41,Acetone 5 ppm
1572,2.03,0.47,0.51,0.27,38,41,Acetone 5 ppm
1573,2.04,0.47,0.5,0.27,38,41,Acetone 5 ppm
1574,1.94,0.45,0.49,0.27,38,41,Acetone 5 ppm
1575,1.74,0.43,0.48,0.27,38,41,Acetone 5 ppm
1576,1.53,0.41,0.47,0.27,38,41,Acetone 5 ppm
1577,1.47,0.4,0.47,0.27,38,41,Acetone 5 ppm
1578,1.44,0.4,0.46,0.27,38,41,Acetone 5 ppm
1579,1.53,0.4,0.45,0.27,38,41,Acetone 5 ppm
1580,1.63,0.4,0.44,0.27,38,41,Acetone 5 ppm
1581,1.62,0.39,0.43,0.27,38,41,Acetone 5 ppm
1582,1.58,0.38,0.43,0.27,38,41,Acetone 5 ppm
1583,1.55,0.37,0.42,0.27,38,41,Acetone 5 ppm
1584,1.52,0.36,0.41,0.27,38,41,Acetone 5 ppm
1585,1.52,0.36,0.41,0.27,38,41,Acetone 5 ppm
1586,1.53,0.35,0.4,0.27,38,41,Acetone 5 ppm
1587,1.52,0.34,0.39,0.27,38,41,Acetone 5 ppm
1588,1.44,0.33,0.39,0.27,38,41,Acetone 5 ppm
1589,1.34,0.32,0.38,0.27,38,41,Acetone 5 ppm
1590,1.31,0.31,0.37,0.27,38,41,Acetone 5 ppm
1591,1.27,0.31,0.36,0.27,38,41,Acetone 5 ppm
1592,1.19,0.3,0.36,0.27,38,41,Acetone 5 ppm
1593,1.13,0.3,0.35,0.27,38,41,Acetone 5 ppm
1594,1.1,0.29,0.35,0.27,38,41,Acetone 5 ppm
1595,1.14,0.29,0.34,0.27,38,41,Acetone 5 ppm
1596,1.17,0.28,0.34,0.28,38,41,Acetone 5 ppm
1597,1.16,0.27,0.33,0.28,38,41,Acetone 5 ppm
1598,1.1,0.27,0.33,0.28,38,41,Acetone 5 ppm
1599,1.05,0.26,0.32,0.28,38,41,Acetone 5 ppm
1600,0.97,0.25,0.32,0.28,38,41,Acetone 5 ppm
1601,0.9,0.25,0.31,0.28,38,41,Acetone 5 ppm
1602,0.88,0.25,0.31,0.28,38,41,Acetone 5 ppm
1603,0.95,0.24,0.3,0.28,38,41,Acetone 5 ppm
1604,1.01,0.24,0.3,0.28,38,41,Acetone 5 ppm
1605,0.91,0.23,0.3,0.28,38,41,Acetone 5 ppm
1606,0.83,0.23,0.29,0.29,38,41,Acetone 5 ppm
1607,0.79,0.23,0.29,0.69,38,41,Acetone 5 ppm
1608,0.81,0.22,0.29,1.47,38,41,Acetone 5 ppm
1609,0.86,0.22,0.29,2.16,38,41,Acetone 5 ppm
1610,0.86,0.22,0.28,2.63,38,41,Acetone 5 ppm
1611,0.79,0.22,0.28,2.88,38,41,Acetone 5 ppm
1612,0.74,0.22,0.28,3.16,38,41,Acetone 5 ppm
1613,0.73,0.22,0.28,3.4,38,41,Acetone 5 ppm
1614,0.71,0.21,0.28,3.53,38,41,Acetone 5 ppm
1615,0.67,0.21,0.27,3.63,38,41,Acetone 5 ppm
1616,0.65,0.21,0.27,3.7,38,41,Acetone 5 ppm
1617,0.62,0.21,0.27,3.76,38,41,Acetone 5 ppm
1618,0.58,0.2,0.27,3.81,38,41,Acetone 5 ppm
1619,0.56,0.2,0.27,3.87,38,41,Acetone 5 ppm
1620,0.57,0.2,0.27,3.92,38,41,Acetone 5 ppm
1621,0.57,0.2,0.26,3.96,38,41,Acetone 5 ppm
1622,0.58,0.2,0.26,3.98,38,41,Acetone 5 ppm
1623,0.62,0.2,0.26,4,38,41,Acetone 5 ppm
1624,0.65,0.19,0.26,4.02,38,41,Acetone 5 ppm
1625,0.64,0.19,0.26,4.02,38,41,Acetone 5 ppm
1626,0.61,0.19,0.26,4.01,38,41,Acetone 5 ppm
1627,0.56,0.19,0.26,4.01,38,41,Acetone 5 ppm
1628,0.56,0.19,0.26,4.03,38,41,Acetone 5 ppm
1629,0.55,0.19,0.26,4.03,38,41,Acetone 5 ppm
1630,0.51,0.19,0.26,4.05,38,41,Acetone 5 ppm
1631,0.46,0.18,0.26,4.06,38,41,Acetone 5 ppm
1632,0.47,0.18,0.25,4.07,38,41,Acetone 5 ppm
1633,0.5,0.18,0.25,4.07,38,41,Acetone 5 ppm
1634,0.51,0.18,0.25,4.06,38,41,Acetone 5 ppm
1635,0.48,0.18,0.25,4.04,38,41,Acetone 5 ppm
1636,0.44,0.18,0.25,4.04,38,41,Acetone 5 ppm
1637,0.41,0.18,0.25,4.03,38,41,Acetone 5 ppm
1638,0.4,0.18,0.25,4.02,38,41,Acetone 5 ppm
1639,0.4,0.18,0.25,4.02,38,41,Acetone 5 ppm
1640,0.4,0.18,0.25,4.01,38,41,Acetone 5 ppm
1641,0.39,0.18,0.25,4,38,41,Acetone 5 ppm
1642,0.38,0.17,0.25,3.99,38,41,Acetone 5 ppm
1643,0.37,0.17,0.25,3.99,38,41,Acetone 5 ppm
1644,0.38,0.17,0.25,3.99,38,41,Acetone 5 ppm
1645,0.38,0.17,0.25,3.99,38,41,Acetone 5 ppm
1646,0.36,0.17,0.25,3.98,38,41,Acetone 5 ppm
1647,0.33,0.17,0.25,3.98,38,41,Acetone 5 ppm
1648,0.32,0.17,0.25,3.97,38,41,Acetone 5 ppm
1649,0.3,0.17,0.25,3.97,38,41,Acetone 5 ppm
1650,0.29,0.17,0.25,3.96,38,41,Acetone 5 ppm
1651,0.29,0.17,0.25,3.95,38,41,Acetone 5 ppm
1652,0.28,0.17,0.25,3.94,38,42,Acetone 5 ppm
1653,0.28,0.17,0.25,3.93,38,42,Acetone 5 ppm
1654,0.28,0.17,0.25,3.92,38,42,Acetone 5 ppm
1655,0.28,0.17,0.25,3.91,38,42,Acetone 5 ppm
1656,0.29,0.17,0.25,3.91,38,42,Acetone 5 ppm
1657,0.29,0.17,0.25,3.89,38,42,Acetone 5 ppm
1658,0.29,0.17,0.25,3.88,38,42,Acetone 5 ppm
1659,0.28,0.17,0.25,3.86,38,42,Acetone 5 ppm
1660,0.26,0.17,0.25,3.85,38,42,Acetone 5 ppm
1661,0.23,0.17,0.25,3.83,38,42,Acetone 5 ppm
1662,0.22,0.17,0.24,3.82,38,42,Acetone 5 ppm
1663,0.22,0.16,0.24,3.8,38,42,Acetone 5 ppm
1664,0.21,0.16,0.24,3.79,38,42,Acetone 5 ppm
